"player","coach","team","season","price","pos","id"
"Demme","Jack","SS FelLazio","2021/2022","1","C",4725
"Ekdal","Jack","SS FelLazio","2021/2022","1","C",2391
"Tonali","Jack","SS FelLazio","2021/2022","7","C",4449
"Coulibaly M.","Jack","SS FelLazio","2021/2022","1","C",2144
"Martinez L.","Jack","SS FelLazio","2021/2022","168","A",2764
"Politano","Jack","SS FelLazio","2021/2022","8","A",536
"Boga","Jack","SS FelLazio","2021/2022","6","A",2832
"Gonzalez N.","Jack","SS FelLazio","2021/2022","57","A",4179
"Deulofeu","Jack","SS FelLazio","2021/2022","12","A",2119
"Carles Perez","Jack","SS FelLazio","2021/2022","1","A",4884
"Szczesny","Jack","SS FelLazio","2022/2023","41","P",453
"Falcone","Jack","SS FelLazio","2022/2023","1","P",2134
"Perin","Jack","SS FelLazio","2022/2023","1","P",218
"Bremer","Jack","SS FelLazio","2022/2023","26","D",2788
"Rrahmani","Jack","SS FelLazio","2022/2023","17","D",4409
"Bastoni S.","Jack","SS FelLazio","2022/2023","14","D",5332
"Parisi","Jack","SS FelLazio","2022/2023","6","D",5449
"D'ambrosio","Jack","SS FelLazio","2022/2023","1","D",253
"Kyriakopoulos","Jack","SS FelLazio","2022/2023","6","D",4530
"Medel","Jack","SS FelLazio","2022/2023","1","D",272
"Sernicola","Jack","SS FelLazio","2022/2023","1","D",2847
"Calhanoglu","Jack","SS FelLazio","2022/2023","52","C",2194
"Luis Alberto","Jack","SS FelLazio","2022/2023","32","C",2085
"Bajrami","Jack","SS FelLazio","2022/2023","16","C",5451
"Tameze","Jack","SS FelLazio","2022/2023","5","C",4890
"Pessina","Jack","SS FelLazio","2022/2023","7","C",2741
"Gagliardini","Jack","SS FelLazio","2022/2023","1","C",801
"Schouten","Jack","SS FelLazio","2022/2023","1","C",4393
"Kovalenko","Jack","SS FelLazio","2022/2023","1","C",5397
"Dybala","Jack","SS FelLazio","2022/2023","131","A",309
"Pinamonti","Jack","SS FelLazio","2022/2023","51","A",2038
"Correa","Jack","SS FelLazio","2022/2023","13","A",495
"Lookman","Jack","SS FelLazio","2022/2023","48","A",4730
"Okereke","Jack","SS FelLazio","2022/2023","10","A",5515
"Kouame'","Jack","SS FelLazio","2022/2023","1","A",2762
"Sirigu","Pape","Patatinaikos","2018/2019",NA,"P",2179
NA,"Pape","Patatinaikos","2018/2019",NA,"P",NA
NA,"Pape","Patatinaikos","2018/2019",NA,"P",NA
"Milenkovic","Pape","Patatinaikos","2018/2019",NA,"D",2164
"Mattiello","Pape","Patatinaikos","2018/2019",NA,"D",106
"Hateboer","Pape","Patatinaikos","2018/2019",NA,"D",2130
"Romagnoli","Pape","Patatinaikos","2018/2019",NA,"D",460
"De Silvestri","Pape","Patatinaikos","2018/2019",NA,"D",487
"Helander","Pape","Patatinaikos","2018/2019",NA,"D",615
"Stryger Larsen","Pape","Patatinaikos","2018/2019",NA,"D",2315
"Criscito","Pape","Patatinaikos","2018/2019",NA,"D",2759
"Barella","Pape","Patatinaikos","2018/2019",NA,"C",1870
"Bonaventura","Pape","Patatinaikos","2018/2019",NA,"C",367
"Freuler","Pape","Patatinaikos","2018/2019",NA,"C",788
"Bernardeschi","Pape","Patatinaikos","2018/2019",NA,"C",184
"Pellegrini Lo.","Pape","Patatinaikos","2018/2019",NA,"C",530
NA,"Pape","Patatinaikos","2018/2019",NA,"C",NA
NA,"Pape","Patatinaikos","2018/2019",NA,"C",NA
NA,"Pape","Patatinaikos","2018/2019",NA,"C",NA
"Pavoletti","Pape","Patatinaikos","2018/2019",NA,"A",247
"Immobile","Pape","Patatinaikos","2018/2019",NA,"A",785
"Under","Pape","Patatinaikos","2018/2019",NA,"A",2201
"Inglese","Pape","Patatinaikos","2018/2019",NA,"A",123
"Falcinelli","Pape","Patatinaikos","2018/2019",NA,"A",532
"Zaza","Pape","Patatinaikos","2018/2019","Sansone","A",315
"Joronen","Pape","Patatinaikos","2019/2020",NA,"P",4425
"Audero","Pape","Patatinaikos","2019/2020",NA,"P",761
"Pau Lopez","Pape","Patatinaikos","2019/2020",NA,"P",4419
"Hernandez T.","Pape","Patatinaikos","2019/2020",NA,"D",4292
"Alex Sandro","Pape","Patatinaikos","2019/2020",NA,"D",662
"Toloi","Pape","Patatinaikos","2019/2020",NA,"D",695
"Manolas","Pape","Patatinaikos","2019/2020",NA,"D",459
"De Silvestri","Pape","Patatinaikos","2019/2020",NA,"D",487
NA,"Pape","Patatinaikos","2019/2020",NA,"D",NA
NA,"Pape","Patatinaikos","2019/2020",NA,"D",NA
NA,"Pape","Patatinaikos","2019/2020",NA,"D",NA
"De Paul","Pape","Patatinaikos","2019/2020",NA,"C",1996
"Milinkovic-Savic","Pape","Patatinaikos","2019/2020",NA,"C",645
"Rog","Pape","Patatinaikos","2019/2020",NA,"C",2076
"Ansaldi","Pape","Patatinaikos","2019/2020",NA,"C",706
NA,"Pape","Patatinaikos","2019/2020",NA,"C",NA
NA,"Pape","Patatinaikos","2019/2020",NA,"C",NA
NA,"Pape","Patatinaikos","2019/2020",NA,"C",NA
NA,"Pape","Patatinaikos","2019/2020",NA,"C",NA
"Quagliarella","Pape","Patatinaikos","2019/2020",NA,"A",568
"Insigne","Pape","Patatinaikos","2019/2020",NA,"A",409
"Berardi","Pape","Patatinaikos","2019/2020",NA,"A",531
"Petagna","Pape","Patatinaikos","2019/2020",NA,"A",383
"Boateng","Pape","Patatinaikos","2019/2020",NA,"A",771
NA,"Pape","Patatinaikos","2019/2020",NA,"A",NA
"Reina","Pape","Patatinaikos","2021/2022","29","P",387
"Silvestri","Pape","Patatinaikos","2021/2022","12","P",2211
"Strakosha","Pape","Patatinaikos","2021/2022","1","P",1934
"Zappacosta","Pape","Patatinaikos","2021/2022","17","D",554
"Koulibaly","Pape","Patatinaikos","2021/2022","22","D",392
"Calabria","Pape","Patatinaikos","2021/2022","14","D",357
"Spinazzola","Pape","Patatinaikos","2021/2022","7","D",1852
"Ansaldi","Pape","Patatinaikos","2021/2022","3","D",706
"De Silvestri","Pape","Patatinaikos","2021/2022","6","D",487
"Vina","Pape","Patatinaikos","2021/2022","12","D",5509
"Ibanez","Pape","Patatinaikos","2021/2022","4","D",4331
"Chiesa","Pape","Patatinaikos","2021/2022","52","C",2002
"Candreva","Pape","Patatinaikos","2021/2022","10","C",332
"Miranchuk","Pape","Patatinaikos","2021/2022","6","C",5001
"Ilic","Pape","Patatinaikos","2021/2022","4","C",5007
"Pereiro","Pape","Patatinaikos","2021/2022","2","C",4886
"Verre","Pape","Patatinaikos","2021/2022","2","C",600
"Cristante","Pape","Patatinaikos","2021/2022","3","C",779
"Lopez M.","Pape","Patatinaikos","2021/2022","1","C",4681
"Belotti","Pape","Patatinaikos","2021/2022","77","A",441
"Dybala","Pape","Patatinaikos","2021/2022","134","A",309
"Mertens","Pape","Patatinaikos","2021/2022","24","A",410
"Raspadori","Pape","Patatinaikos","2021/2022","46","A",4371
"El Shaarawy","Pape","Patatinaikos","2021/2022","1","A",795
"Bonazzoli","Pape","Patatinaikos","2021/2022","1","A",505
"Skorupski","Pape","Scrotone","2023/2024","9","P",133
"Rui Patricio","Pape","Scrotone","2023/2024","30","P",4270
"Svilar","Pape","Scrotone","2023/2024","1","P",5841
"Dimarco","Pape","Scrotone","2023/2024","35","D",254
"Faraoni","Pape","Scrotone","2023/2024","7","D",581
"Martin","Pape","Scrotone","2023/2024","2","D",2593
"Smalling","Pape","Scrotone","2023/2024","11","D",4245
"Bellanova","Pape","Scrotone","2023/2024","5","D",4887
"Casale","Pape","Scrotone","2023/2024","5","D",5498
"Olivera","Pape","Scrotone","2023/2024","3","D",5840
"Azzi","Pape","Scrotone","2023/2024","1","D",6231
"El Shaarawy","Pape","Scrotone","2023/2024","8","C",795
"Luis Alberto","Pape","Scrotone","2023/2024","35","C",2085
"Elmas","Pape","Scrotone","2023/2024","7","C",4479
"Messias","Pape","Scrotone","2023/2024","1","C",4970
"Baldanzi","Pape","Scrotone","2023/2024","11","C",5823
"Lovric","Pape","Scrotone","2023/2024","10","C",5850
"Ciurria","Pape","Scrotone","2023/2024","11","C",5880
"Fabbian","Pape","Scrotone","2023/2024","1","C",6206
"Dybala","Pape","Scrotone","2023/2024","100","A",309
"Scamacca","Pape","Scrotone","2023/2024","86","A",2137
"Raspadori","Pape","Scrotone","2023/2024","6","A",4371
"Dia","Pape","Scrotone","2023/2024","90","A",5672
"Lauriente'","Pape","Scrotone","2023/2024","20","A",6060
"Karlsson","Pape","Scrotone","2023/2024","1","A",6459
"Strakosha","Pasol","MVPippe","2018/2019",NA,"P",1934
NA,"Pasol","MVPippe","2018/2019",NA,"P",NA
NA,"Pasol","MVPippe","2018/2019",NA,"P",NA
"Palomino","Pasol","MVPippe","2018/2019",NA,"D",2181
"Cancelo","Pasol","MVPippe","2018/2019",NA,"D",2310
"Rugani","Pasol","MVPippe","2018/2019",NA,"D",294
NA,"Pasol","MVPippe","2018/2019",NA,"D",NA
NA,"Pasol","MVPippe","2018/2019",NA,"D",NA
NA,"Pasol","MVPippe","2018/2019",NA,"D",NA
NA,"Pasol","MVPippe","2018/2019",NA,"D",NA
NA,"Pasol","MVPippe","2018/2019",NA,"D",NA
"Nzonzi","Pasol","MVPippe","2018/2019",NA,"C",2617
"Calhanoglu","Pasol","MVPippe","2018/2019",NA,"C",2194
NA,"Pasol","MVPippe","2018/2019",NA,"C",NA
NA,"Pasol","MVPippe","2018/2019",NA,"C",NA
NA,"Pasol","MVPippe","2018/2019",NA,"C",NA
NA,"Pasol","MVPippe","2018/2019",NA,"C",NA
NA,"Pasol","MVPippe","2018/2019",NA,"C",NA
NA,"Pasol","MVPippe","2018/2019",NA,"C",NA
"Piatek","Pasol","MVPippe","2018/2019",NA,"A",2756
"Papu Gomez","Pasol","MVPippe","2018/2019",NA,"A",26
"Dybala","Pasol","MVPippe","2018/2019",NA,"A",309
"La Gumina","Pasol","MVPippe","2018/2019",NA,"A",447
"Kluivert","Pasol","MVPippe","2018/2019",NA,"A",2779
NA,"Pasol","MVPippe","2018/2019",NA,"A",NA
"Reina","Pasol","MVPippe","2019/2020",NA,"P",387
"Donnarumma G.","Pasol","MVPippe","2019/2020",NA,"P",350
"Radu I.","Pasol","MVPippe","2019/2020",NA,"P",1843
"Criscito","Pasol","MVPippe","2019/2020",NA,"D",2759
"Tomiyasu","Pasol","MVPippe","2019/2020",NA,"D",4422
"Caldara","Pasol","MVPippe","2019/2020",NA,"D",1847
"Danilo Lar.","Pasol","MVPippe","2019/2020",NA,"D",578
"Castagne","Pasol","MVPippe","2019/2020",NA,"D",2197
"Danilo","Pasol","MVPippe","2019/2020",NA,"D",4237
"Palomino","Pasol","MVPippe","2019/2020",NA,"D",2181
NA,"Pasol","MVPippe","2019/2020",NA,"D",NA
"Pulgar","Pasol","MVPippe","2019/2020",NA,"C",644
"Pellegrini Lo.","Pasol","MVPippe","2019/2020",NA,"C",530
"Bennacer","Pasol","MVPippe","2019/2020",NA,"C",2818
"Pjanic","Pasol","MVPippe","2019/2020",NA,"C",469
"Zielinski","Pasol","MVPippe","2019/2020",NA,"C",152
"Tonali","Pasol","MVPippe","2019/2020",NA,"C",4449
"Cuadrado","Pasol","MVPippe","2019/2020",NA,"C",697
NA,"Pasol","MVPippe","2019/2020",NA,"C",NA
"Inglese","Pasol","MVPippe","2019/2020",NA,"A",123
"Donnarumma A.","Pasol","MVPippe","2019/2020",NA,"A",4452
"Pavoletti","Pasol","MVPippe","2019/2020",NA,"A",247
"Under","Pasol","MVPippe","2019/2020",NA,"A",2201
"Mertens","Pasol","MVPippe","2019/2020",NA,"A",410
"Belotti","Pasol","MVPippe","2019/2020",NA,"A",441
"Szczesny","Pasol","MVPippe","2020/2021","28","P",453
"Sirigu","Pasol","MVPippe","2020/2021","5","P",2179
"Buffon","Pasol","MVPippe","2020/2021","3","P",282
"Koulibaly","Pasol","MVPippe","2020/2021","26","D",392
"Hateboer","Pasol","MVPippe","2020/2021","25","D",2130
"Alex Sandro","Pasol","MVPippe","2020/2021","11","D",662
"Mancini","Pasol","MVPippe","2020/2021","6","D",2296
"Djimsiti","Pasol","MVPippe","2020/2021","2","D",787
"Kjaer","Pasol","MVPippe","2020/2021","6","D",2633
"Dalot","Pasol","MVPippe","2020/2021","1","D",4242
"Demiral","Pasol","MVPippe","2020/2021","1","D",4332
"Chiesa","Pasol","MVPippe","2020/2021","23","C",2002
"Veretout","Pasol","MVPippe","2020/2021","24","C",2215
"Djuricic","Pasol","MVPippe","2020/2021","17","C",1995
"Lazzari","Pasol","MVPippe","2020/2021","8","C",2263
"Brozovic","Pasol","MVPippe","2020/2021","1","C",265
"Bakayoko","Pasol","MVPippe","2020/2021","5","C",2639
"Ricci S.","Pasol","MVPippe","2020/2021","4","C",5453
"Saelemaekers","Pasol","MVPippe","2020/2021","1","C",4892
"Belotti","Pasol","MVPippe","2020/2021","108","A",441
"Berardi","Pasol","MVPippe","2020/2021","49","A",531
"Rebic","Pasol","MVPippe","2020/2021","30","A",186
"Boga","Pasol","MVPippe","2020/2021","37","A",2832
"Lozano","Pasol","MVPippe","2020/2021","3","A",4517
"Lammers","Pasol","MVPippe","2020/2021","1","A",5292
"Cragno","Pasol","HERTA VERNELLO","2021/2022","10","P",2178
"Milinkovic-Savic V.","Pasol","HERTA VERNELLO","2021/2022","4","P",2170
"Sirigu","Pasol","HERTA VERNELLO","2021/2022","5","P",2179
"Molina N.","Pasol","HERTA VERNELLO","2021/2022","25","D",4998
"Acerbi","Pasol","HERTA VERNELLO","2021/2022","14","D",513
"De Ligt","Pasol","HERTA VERNELLO","2021/2022","10","D",4428
"Biraghi","Pasol","HERTA VERNELLO","2021/2022","9","D",252
"Criscito","Pasol","HERTA VERNELLO","2021/2022","4","D",2759
"Zappa","Pasol","HERTA VERNELLO","2021/2022","1","D",4461
"Marusic","Pasol","HERTA VERNELLO","2021/2022","1","D",2188
"Demiral","Pasol","HERTA VERNELLO","2021/2022","2","D",4332
"Luis Alberto","Pasol","HERTA VERNELLO","2021/2022","50","C",2085
"Kulusevski","Pasol","HERTA VERNELLO","2021/2022","22","C",2833
"Pereyra","Pasol","HERTA VERNELLO","2021/2022","26","C",302
"Pessina","Pasol","HERTA VERNELLO","2021/2022","16","C",2741
"De Roon","Pasol","HERTA VERNELLO","2021/2022","3","C",22
"Elmas","Pasol","HERTA VERNELLO","2021/2022","5","C",4479
"Krunic","Pasol","HERTA VERNELLO","2021/2022","1","C",148
"Ihattaren","Pasol","HERTA VERNELLO","2021/2022","1","C",5689
"Immobile","Pasol","HERTA VERNELLO","2021/2022","201","A",785
"Rebic","Pasol","HERTA VERNELLO","2021/2022","8","A",186
"Ilicic","Pasol","HERTA VERNELLO","2021/2022","24","A",177
"Rafael Leao","Pasol","HERTA VERNELLO","2021/2022","46","A",4510
"Petagna","Pasol","HERTA VERNELLO","2021/2022","1","A",383
"Muriqi","Pasol","HERTA VERNELLO","2021/2022","1","A",5012
"Gollini","Pasol","HERTA VERNELLO","2022/2023","26","P",610
"Skorupski","Pasol","HERTA VERNELLO","2022/2023","4","P",133
"Cragno","Pasol","HERTA VERNELLO","2022/2023","2","P",2178
"Gosens","Pasol","HERTA VERNELLO","2022/2023","11","D",2160
"Dodo'","Pasol","HERTA VERNELLO","2022/2023","16","D",5885
"Romagnoli","Pasol","HERTA VERNELLO","2022/2023","9","D",460
"Igor","Pasol","HERTA VERNELLO","2022/2023","8","D",4407
"Maehle","Pasol","HERTA VERNELLO","2022/2023","10","D",5375
"Toloi","Pasol","HERTA VERNELLO","2022/2023","5","D",695
"Nuytinck","Pasol","HERTA VERNELLO","2022/2023","1","D",2280
"Olivera","Pasol","HERTA VERNELLO","2022/2023","3","D",5840
"Pellegrini Lo.","Pasol","HERTA VERNELLO","2022/2023","59","C",530
"Traore Hj","Pasol","HERTA VERNELLO","2022/2023","6","C",2857
"Politano","Pasol","HERTA VERNELLO","2022/2023","16","C",536
"Ederson D.s.","Pasol","HERTA VERNELLO","2022/2023","26","C",5792
"Zambo Anguissa","Pasol","HERTA VERNELLO","2022/2023","6","C",4220
"Elmas","Pasol","HERTA VERNELLO","2022/2023","3","C",4479
"Marcos Antonio","Pasol","HERTA VERNELLO","2022/2023","1","C",5834
"Krunic","Pasol","HERTA VERNELLO","2022/2023","1","C",148
"Immobile","Pasol","HERTA VERNELLO","2022/2023","209","A",785
"Muriel","Pasol","HERTA VERNELLO","2022/2023","51","A",507
"Caputo","Pasol","HERTA VERNELLO","2022/2023","6","A",2819
"Alvarez A.","Pasol","HERTA VERNELLO","2022/2023","1","A",5845
"Ceesay","Pasol","HERTA VERNELLO","2022/2023","17","A",5836
"Cancellieri","Pasol","HERTA VERNELLO","2022/2023","1","A",5500
"Radunovic","Pasol","HERTA VERNELLO","2023/2024","2","P",3
"Meret","Pasol","HERTA VERNELLO","2023/2024","37","P",572
"Gollini","Pasol","HERTA VERNELLO","2023/2024","1","P",610
"Calabria","Pasol","HERTA VERNELLO","2023/2024","4","D",357
"Bremer","Pasol","HERTA VERNELLO","2023/2024","17","D",2788
"Tomori","Pasol","HERTA VERNELLO","2023/2024","13","D",4751
"Kalulu","Pasol","HERTA VERNELLO","2023/2024","1","D",4976
"Llorente D.","Pasol","HERTA VERNELLO","2023/2024","1","D",5239
"Ebosele","Pasol","HERTA VERNELLO","2023/2024","1","D",5848
"Dodo'","Pasol","HERTA VERNELLO","2023/2024","12","D",5885
"Posch","Pasol","HERTA VERNELLO","2023/2024","17","D",6066
"Krunic","Pasol","HERTA VERNELLO","2023/2024","1","C",148
"Felipe Anderson","Pasol","HERTA VERNELLO","2023/2024","49","C",335
"Locatelli","Pasol","HERTA VERNELLO","2023/2024","1","C",827
"Rovella","Pasol","HERTA VERNELLO","2023/2024","1","C",4459
"Chukwueze","Pasol","HERTA VERNELLO","2023/2024","25","C",4856
"Musah","Pasol","HERTA VERNELLO","2023/2024","1","C",5295
"Ricci S.","Pasol","HERTA VERNELLO","2023/2024","7","C",5453
"Ferguson","Pasol","HERTA VERNELLO","2023/2024","21","C",5858
"Lapadula","Pasol","HERTA VERNELLO","2023/2024","1","A",1939
"Karamoh","Pasol","HERTA VERNELLO","2023/2024","1","A",2325
"Rafael Leao","Pasol","HERTA VERNELLO","2023/2024","191","A",4510
"Thuram","Pasol","HERTA VERNELLO","2023/2024","60","A",4871
"Isaksen","Pasol","HERTA VERNELLO","2023/2024","1","A",6398
"Beltran L.","Pasol","HERTA VERNELLO","2023/2024","32","A",6409
"Rui Patricio","Ricky","Tigrotto","2022/2023","36","P",4270
"Sepe","Ricky","Tigrotto","2022/2023","2","P",159
"Svilar","Ricky","Tigrotto","2022/2023","1","P",5841
"Dumfries","Ricky","Tigrotto","2022/2023","30","D",5513
"Di Lorenzo","Ricky","Tigrotto","2022/2023","16","D",2816
"Kim","Ricky","Tigrotto","2022/2023","16","D",5892
"Darmian","Ricky","Tigrotto","2022/2023","4","D",2525
"Carlos Augusto","Ricky","Tigrotto","2022/2023","1","D",5877
"Lucumi'","Ricky","Tigrotto","2022/2023","2","D",6042
"Birindelli","Ricky","Tigrotto","2022/2023","8","D",5838
"Ebosele","Ricky","Tigrotto","2022/2023","1","D",5848
"Pasalic","Ricky","Tigrotto","2022/2023","20","C",2077
"Candreva","Ricky","Tigrotto","2022/2023","7","C",332
"Koopmeiners","Ricky","Tigrotto","2022/2023","27","C",5685
"Strefezza","Ricky","Tigrotto","2022/2023","20","C",4486
"Lobotka","Ricky","Tigrotto","2022/2023","8","C",4287
"Lukic","Ricky","Tigrotto","2022/2023","19","C",2009
"Vilhena","Ricky","Tigrotto","2022/2023","1","C",6025
"Marin","Ricky","Tigrotto","2022/2023","1","C",4965
"Osimhen","Ricky","Tigrotto","2022/2023","200","A",4661
"Deulofeu","Ricky","Tigrotto","2022/2023","32","A",2119
"Dia","Ricky","Tigrotto","2022/2023","1","A",5672
"Nzola","Ricky","Tigrotto","2022/2023","20","A",5336
"Verde","Ricky","Tigrotto","2022/2023","4","A",215
"Zanimacchia","Ricky","Tigrotto","2022/2023","1","A",2842
"Silvestri","Ricky","Tigrotto","2023/2024","4","P",2211
"Caprile","Ricky","Tigrotto","2023/2024","1","P",4360
"Turati","Ricky","Tigrotto","2023/2024","1","P",4867
"Di Lorenzo","Ricky","Tigrotto","2023/2024","40","D",2816
"Celik","Ricky","Tigrotto","2023/2024","1","D",4657
"Dragusin","Ricky","Tigrotto","2023/2024","2","D",5365
"Ebuehi","Ricky","Tigrotto","2023/2024","5","D",5480
"Dumfries","Ricky","Tigrotto","2023/2024","30","D",5513
"Cambiaso","Ricky","Tigrotto","2023/2024","24","D",5520
"Bisseck","Ricky","Tigrotto","2023/2024","1","D",6217
"Kristensen","Ricky","Tigrotto","2023/2024","7","D",6220
"Candreva","Ricky","Tigrotto","2023/2024","32","C",332
"Klaassen","Ricky","Tigrotto","2023/2024","1","C",4182
"Strefezza","Ricky","Tigrotto","2023/2024","27","C",4486
"Kostic","Ricky","Tigrotto","2023/2024","11","C",4711
"Gudmundsson A.","Ricky","Tigrotto","2023/2024","17","C",5800
"Lindstrom","Ricky","Tigrotto","2023/2024","25","C",5949
"Rafia","Ricky","Tigrotto","2023/2024","1","C",6222
"Folorunsho","Ricky","Tigrotto","2023/2024","1","C",6252
"Berardi","Ricky","Tigrotto","2023/2024","160","A",531
"Ngonge","Ricky","Tigrotto","2023/2024","14","A",6145
"Almqvist","Ricky","Tigrotto","2023/2024","15","A",6207
"Brenner","Ricky","Tigrotto","2023/2024","1","A",6213
"Retegui","Ricky","Tigrotto","2023/2024","60","A",6228
"Toure' E.","Ricky","Tigrotto","2023/2024","1","A",6229
"Szczesny","Sacc","Bayer Leverdure","2018/2019","25","P",453
"Perin","Sacc","Bayer Leverdure","2018/2019","5","P",218
"Milinkovic-Savic V.","Sacc","Bayer Leverdure","2018/2019","3","P",2170
"Skriniar","Sacc","Bayer Leverdure","2018/2019","30","D",798
"Bonucci","Sacc","Bayer Leverdure","2018/2019","19","D",286
"Fazio","Sacc","Bayer Leverdure","2018/2019","17","D",2016
"Benatia","Sacc","Bayer Leverdure","2018/2019","16","D",1931
"Djourou","Sacc","Bayer Leverdure","2018/2019","3","D",2831
"Rodriguez R.","Sacc","Bayer Leverdure","2018/2019","6","D",2169
"Klavan","Sacc","Bayer Leverdure","2018/2019","2","D",2871
"Calabria","Sacc","Bayer Leverdure","2018/2019","1","D",357
"Costa","Sacc","Bayer Leverdure","2018/2019","35","C",2200
"Suso","Sacc","Bayer Leverdure","2018/2019","36","C",375
"Can","Sacc","Bayer Leverdure","2018/2019","19","C",2504
"Zielinski","Sacc","Bayer Leverdure","2018/2019","21","C",152
"Parolo","Sacc","Bayer Leverdure","2018/2019","16","C",342
"Ciciretti","Sacc","Bayer Leverdure","2018/2019","7","C",2243
"Bakayoko","Sacc","Bayer Leverdure","2018/2019","9","C",2639
"Zajc","Sacc","Bayer Leverdure","2018/2019","7","C",2124
"Ronaldo","Sacc","Bayer Leverdure","2018/2019","96","A",2610
"Lasagna","Sacc","Bayer Leverdure","2018/2019","32","A",90
"Defrel","Sacc","Bayer Leverdure","2018/2019","9","A",643
"Cutrone","Sacc","Bayer Leverdure","2018/2019","16","A",2155
"Castillejo","Sacc","Bayer Leverdure","2018/2019","6","A",2692
"Martinez L.","Sacc","Bayer Leverdure","2018/2019","50","A",2764
"Sepe","Sacc","Bayer Leverdure","2019/2020",NA,"P",159
"Dragowski","Sacc","Bayer Leverdure","2019/2020",NA,"P",1917
NA,"Sacc","Bayer Leverdure","2019/2020",NA,"P",NA
"Toljan","Sacc","Bayer Leverdure","2019/2020",NA,"D",4426
"Milenkovic","Sacc","Bayer Leverdure","2019/2020",NA,"D",2164
"Luiz Felipe","Sacc","Bayer Leverdure","2019/2020",NA,"D",2335
"Colley","Sacc","Bayer Leverdure","2019/2020",NA,"D",2784
"Bruno Alves","Sacc","Bayer Leverdure","2019/2020",NA,"D",1864
"Romero","Sacc","Bayer Leverdure","2019/2020",NA,"D",4307
NA,"Sacc","Bayer Leverdure","2019/2020",NA,"D",NA
NA,"Sacc","Bayer Leverdure","2019/2020",NA,"D",NA
"Fofana","Sacc","Bayer Leverdure","2019/2020",NA,"C",1986
"Kucka","Sacc","Bayer Leverdure","2019/2020",NA,"C",234
"Zaniolo","Sacc","Bayer Leverdure","2019/2020",NA,"C",2766
"Suso","Sacc","Bayer Leverdure","2019/2020",NA,"C",375
"Zmrhal","Sacc","Bayer Leverdure","2019/2020",NA,"C",4513
"Spalek","Sacc","Bayer Leverdure","2019/2020",NA,"C",4448
NA,"Sacc","Bayer Leverdure","2019/2020",NA,"C",NA
NA,"Sacc","Bayer Leverdure","2019/2020",NA,"C",NA
"Immobile","Sacc","Bayer Leverdure","2019/2020",NA,"A",785
"Boga","Sacc","Bayer Leverdure","2019/2020","1","A",2832
"Caicedo","Sacc","Bayer Leverdure","2019/2020",NA,"A",2284
"Balotelli","Sacc","Bayer Leverdure","2019/2020",NA,"A",696
"Skov Olsen","Sacc","Bayer Leverdure","2019/2020",NA,"A",4415
"Iago Falque","Sacc","Bayer Leverdure","2019/2020",NA,"A",475
"Gollini","Sacc","Bayer Leverdure","2020/2021","20","P",610
"Dragowski","Sacc","Bayer Leverdure","2020/2021","8","P",1917
"Sportiello","Sacc","Bayer Leverdure","2020/2021","5","P",4
"De Ligt","Sacc","Bayer Leverdure","2020/2021","17","D",4428
"Manolas","Sacc","Bayer Leverdure","2020/2021","17","D",459
"Criscito","Sacc","Bayer Leverdure","2020/2021","14","D",2759
"Kumbulla","Sacc","Bayer Leverdure","2020/2021","7","D",4495
"Palomino","Sacc","Bayer Leverdure","2020/2021","3","D",2181
"Tomiyasu","Sacc","Bayer Leverdure","2020/2021","3","D",4422
"Bruno Peres","Sacc","Bayer Leverdure","2020/2021","2","D",546
"Vojvoda","Sacc","Bayer Leverdure","2020/2021","1","D",4994
"Calhanoglu","Sacc","Bayer Leverdure","2020/2021","40","C",2194
"De Paul","Sacc","Bayer Leverdure","2020/2021","18","C",1996
"Arthur","Sacc","Bayer Leverdure","2020/2021","8","C",4285
"Diaz B.","Sacc","Bayer Leverdure","2020/2021","13","C",4825
"De Roon","Sacc","Bayer Leverdure","2020/2021","11","C",22
"Zajc","Sacc","Bayer Leverdure","2020/2021","1","C",2124
"Amrabat","Sacc","Bayer Leverdure","2020/2021","3","C",4522
"McKennie","Sacc","Bayer Leverdure","2020/2021","1","C",4973
"Ronaldo","Sacc","Bayer Leverdure","2020/2021","231","A",2610
"Barrow","Sacc","Bayer Leverdure","2020/2021","10","A",2719
"Gabbiadini","Sacc","Bayer Leverdure","2020/2021","1","A",407
"Simy","Sacc","Bayer Leverdure","2020/2021","2","A",1997
"Deulofeu","Sacc","Bayer Leverdure","2020/2021","12","A",2119
"Hauge","Sacc","Bayer Leverdure","2020/2021","1","A",5310
"Musso","Sacc","Bayer Leverdure","2021/2022","35","P",2792
"Montipo'","Sacc","Bayer Leverdure","2021/2022","3","P",4957
"Sportiello","Sacc","Bayer Leverdure","2021/2022","1","P",4
"Hernandez T.","Sacc","Bayer Leverdure","2021/2022","48","D",4292
"Bastoni","Sacc","Bayer Leverdure","2021/2022","15","D",2120
"Bonucci","Sacc","Bayer Leverdure","2021/2022","10","D",286
"Nuytinck","Sacc","Bayer Leverdure","2021/2022","6","D",2280
"Augello","Sacc","Bayer Leverdure","2021/2022","4","D",4421
"Toloi","Sacc","Bayer Leverdure","2021/2022","10","D",695
"Vanheusden","Sacc","Bayer Leverdure","2021/2022","1","D",2328
"Serpe","Sacc","Bayer Leverdure","2021/2022","1","D",5524
"Veretout","Sacc","Bayer Leverdure","2021/2022","53","C",2215
